iter	MultiClass
0	1.045813997
1	1.004762576
2	0.9732790644
3	0.9442498126
4	0.9193658562
5	0.8983415533
6	0.8807435326
7	0.8662879786
8	0.8499762375
9	0.8387010042
10	0.8274637272
11	0.8183566945
12	0.8100274539
13	0.8031039968
14	0.7960179022
15	0.7887912279
16	0.7812621819
17	0.7775208439
18	0.7720913153
19	0.7679733772
20	0.7645424733
21	0.7606991692
22	0.7563300971
23	0.7535288462
24	0.7510064021
25	0.7475692028
26	0.7451462761
27	0.741220975
28	0.7387234211
29	0.7363326193
30	0.7345080722
31	0.7323756344
32	0.730557953
33	0.7280726361
34	0.7258153111
35	0.7237255401
36	0.7211345474
37	0.7194974383
38	0.7176892605
39	0.715939844
40	0.7135873608
41	0.7117950829
42	0.7107036496
43	0.7092997911
44	0.7078484986
45	0.706156323
46	0.7047902566
47	0.702755769
48	0.7017019914
49	0.7004200411
50	0.6992224979
51	0.6980248497
52	0.6969124644
53	0.6955865743
54	0.694243361
55	0.693127726
56	0.6922026978
57	0.6910181876
58	0.6900180773
59	0.6888796956
60	0.6876981598
61	0.6867694427
62	0.6858096956
63	0.68494814
64	0.6834902288
65	0.6824409126
66	0.6819879342
67	0.6810720747
68	0.6800490042
69	0.6793927438
70	0.6788081412
71	0.6777744529
72	0.6770109003
73	0.6761990754
74	0.6756521202
75	0.6748694275
76	0.6742326992
77	0.6732961999
78	0.6726899601
79	0.6720391994
80	0.6713379095
81	0.6704854693
82	0.6698748151
83	0.669234107
84	0.6682992831
85	0.6670562139
86	0.6661279321
87	0.6656615332
88	0.6648465426
89	0.6640996465
90	0.6635112686
91	0.662866079
92	0.6623948648
93	0.6618977109
94	0.6609226341
95	0.659853664
96	0.6592536395
97	0.658680633
98	0.6579700975
99	0.6571873809
100	0.6566536448
101	0.6557464448
102	0.6550003406
103	0.6544391971
104	0.653877644
105	0.6531541841
106	0.6525070122
107	0.6521140685
108	0.6514529674
109	0.6508893727
110	0.650325239
111	0.6497187569
112	0.6491180734
113	0.6484248655
114	0.6476437792
115	0.6468918596
116	0.646319057
117	0.6452621639
118	0.644705025
119	0.6442949567
120	0.6436771134
121	0.6430916947
122	0.6423259297
123	0.6418447759
124	0.6412470631
125	0.6407685299
126	0.6402830074
127	0.6397080508
128	0.6389804879
129	0.6383246834
130	0.6379994643
131	0.6374025042
132	0.6370143381
133	0.6365212985
134	0.6360456844
135	0.6357026889
136	0.6351980179
137	0.6345989117
138	0.6340913499
139	0.6335879919
140	0.6331289026
141	0.6323852625
142	0.6318436072
143	0.6311223977
144	0.6304053287
145	0.6298985005
146	0.6293370433
147	0.6287572253
148	0.6283139067
149	0.6275967609
150	0.6272173409
151	0.6267885317
152	0.626217705
153	0.6255653407
154	0.6251007731
155	0.6244861092
156	0.6241239721
157	0.6236862611
158	0.6231788886
159	0.6227952002
160	0.6224323347
161	0.6219176564
162	0.621678355
163	0.6212299856
164	0.6208644085
165	0.6202226355
166	0.6198761936
167	0.6193065879
168	0.6189044746
169	0.6185870887
170	0.6182303858
171	0.6177911493
172	0.6173549925
173	0.6169964723
174	0.6166302695
175	0.6162835742
176	0.6159742735
177	0.6156255034
178	0.615143867
179	0.6148761769
180	0.6144671504
181	0.6140525304
182	0.6137298657
183	0.6132563969
184	0.612789235
185	0.6122100413
186	0.6119655157
187	0.6115677211
188	0.6112430478
189	0.6108857305
190	0.6104437452
191	0.6100855304
192	0.6096522526
193	0.6091496887
194	0.6088352378
195	0.6085852781
196	0.6083975281
197	0.6081296433
198	0.6077240455
