iter	Passed	Remaining
0	33	33869
1	63	31554
2	93	31087
3	122	30625
4	154	30823
5	185	30704
6	215	30605
7	244	30340
8	279	30829
9	311	30843
10	362	32557
11	410	33829
12	446	33910
13	473	33349
14	503	33063
15	530	32654
16	562	32543
17	593	32369
18	621	32093
19	650	31855
20	677	31600
21	713	31705
22	748	31805
23	779	31715
24	807	31506
25	837	31374
26	865	31204
27	891	30935
28	917	30708
29	944	30536
30	971	30354
31	997	30179
32	1027	30114
33	1054	29973
34	1084	29900
35	1111	29759
36	1141	29712
37	1169	29600
38	1197	29498
39	1225	29404
40	1257	29401
41	1281	29219
42	1309	29150
43	1338	29071
44	1366	29005
45	1405	29140
46	1432	29038
47	1463	29023
48	1490	28932
49	1517	28832
50	1542	28702
51	1567	28572
52	1592	28452
53	1621	28405
54	1649	28344
55	1672	28198
56	1702	28157
57	1728	28080
58	1752	27957
59	1781	27912
60	1809	27853
61	1837	27796
62	1866	27757
63	1894	27704
64	1924	27677
65	1951	27613
66	1979	27560
67	2005	27484
68	2034	27446
69	2063	27418
70	2092	27374
71	2124	27377
72	2154	27365
73	2193	27443
74	2231	27524
75	2266	27555
76	2298	27557
77	2333	27577
78	2363	27556
79	2396	27557
80	2425	27522
81	2455	27495
82	2484	27453
83	2512	27398
84	2537	27313
85	2564	27256
86	2590	27184
87	2614	27098
88	2637	26998
89	2660	26905
90	2688	26853
91	2713	26778
92	2737	26702
93	2767	26669
94	2796	26642
95	2829	26641
96	2858	26607
97	2890	26605
98	2919	26572
99	2945	26509
100	3004	26739
101	3045	26816
102	3075	26782
103	3104	26745
104	3136	26731
105	3167	26713
106	3198	26697
107	3227	26654
108	3256	26622
109	3285	26583
110	3313	26541
111	3339	26481
112	3370	26459
113	3402	26440
114	3427	26374
115	3454	26326
116	3478	26255
117	3508	26226
118	3534	26168
119	3565	26146
120	3598	26139
121	3627	26108
122	3655	26065
123	3680	26002
124	3710	25973
125	3737	25924
126	3762	25862
127	3788	25808
128	3816	25768
129	3839	25696
130	3867	25653
131	3890	25582
132	3912	25504
133	3938	25451
134	3961	25382
135	3985	25317
136	4009	25255
137	4036	25212
138	4060	25152
139	4087	25107
140	4115	25070
141	4143	25033
142	4167	24973
143	4197	24953
144	4221	24892
145	4247	24842
146	4275	24810
147	4300	24757
148	4326	24708
149	4355	24682
150	4385	24658
151	4409	24600
152	4433	24543
153	4463	24518
154	4488	24468
155	4513	24420
156	4536	24360
157	4561	24308
158	4585	24254
159	4608	24196
160	4634	24150
161	4660	24105
162	4683	24048
163	4710	24011
164	4738	23979
165	4762	23929
166	4786	23876
167	4811	23827
168	4836	23782
169	4860	23732
170	4884	23679
171	4912	23646
172	4937	23604
173	4962	23555
174	4986	23506
175	5009	23454
176	5032	23399
177	5060	23371
178	5089	23345
179	5114	23298
180	5140	23261
181	5167	23224
182	5195	23196
183	5233	23209
184	5271	23224
185	5303	23208
186	5329	23172
187	5356	23136
188	5383	23100
189	5416	23090
190	5443	23054
191	5470	23020
192	5495	22977
193	5536	23002
194	5576	23022
195	5614	23028
196	5637	22980
197	5661	22932
198	5687	22891
199	5713	22855
200	5737	22808
201	5762	22766
202	5788	22725
203	5812	22681
204	5840	22648
205	5864	22603
206	5894	22583
207	5919	22541
208	5946	22505
209	5970	22462
210	5996	22422
211	6022	22385
212	6047	22345
213	6075	22315
214	6104	22287
215	6135	22268
216	6173	22275
217	6208	22270
218	6241	22257
219	6272	22237
220	6300	22208
221	6330	22186
222	6362	22169
223	6387	22128
224	6420	22115
225	6451	22094
226	6482	22075
227	6514	22056
228	6542	22028
229	6571	22001
230	6599	21971
231	6629	21945
232	6655	21908
233	6685	21885
234	6718	21870
235	6745	21838
236	6773	21807
237	6804	21785
238	6832	21754
239	6862	21730
240	6892	21708
241	6921	21678
242	6949	21650
243	6978	21621
244	7008	21597
245	7034	21562
246	7064	21535
247	7092	21505
248	7119	21474
249	7146	21440
250	7173	21406
251	7198	21366
252	7223	21328
253	7252	21299
254	7278	21264
255	7309	21242
256	7335	21208
257	7363	21175
258	7391	21146
259	7417	21112
260	7444	21077
261	7471	21045
262	7499	21016
263	7526	20981
264	7552	20948
265	7579	20914
266	7611	20896
267	7639	20866
268	7667	20837
269	7695	20805
270	7720	20767
271	7746	20734
272	7774	20702
273	7800	20669
274	7824	20627
275	7852	20597
276	7879	20566
277	7909	20543
278	7940	20520
279	7966	20485
280	7992	20451
281	8017	20413
282	8042	20376
283	8072	20352
284	8114	20356
285	8145	20336
286	8181	20325
287	8222	20327
288	8260	20321
289	8299	20320
290	8344	20331
291	8386	20334
292	8426	20332
293	8463	20323
294	8493	20297
295	8529	20285
296	8557	20255
297	8595	20248
298	8632	20239
299	8672	20235
300	8706	20219
301	8760	20248
302	8821	20291
303	8855	20274
304	8888	20254
